Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid Swasta,Tahun Ajaran
Punggelan, 41 , 1 , 331 , - ," 4,902 ", - ,2021/2022
Karangkobar, 26 , 1 , 196 , - ," 2,961 ", - ,2021/2022
Pagentan, 28 , - , 234 , - ," 3,211 ", - ,2021/2022
Pejawaran, 29 , - , 211 , - ," 3,343 ", - ,2021/2022
Batur, 23 , 1 , 174 , 9 ," 3,456 ", 302 ,2021/2022
Wanayasa, 29 , - , 222 , - ," 3,538 ", - ,2021/2022
Kalibening, 30 , 1 , 231 , 1 ," 3,974 ", 21 ,2021/2022
Pandanarum, 20 , - , 149 , - ," 1,687 ", - ,2021/2022
Susukan, 43 , 1 , 295 , 3 ," 4,824 ", 81 ,2022/2023
Purwareja Klampok, 26 , 3 , 188 , 37 ," 2,747 ", 660 ,2022/2023
Mandiraja, 43 , - , 267 , - ," 4,690 ", - ,2022/2023
Purwanegara, 44 , 1 , 311 , 8 ," 5,085 ", 312 ,2022/2023
Bawang, 35 , 2 , 249 , 1 ," 3,580 ", 84 ,2022/2023
Banjarnegara, 29 , 7 , 248 , 47 ," 4,856 "," 1,477 ",2022/2023
Pagedongan, 22 , - , 142 , - ," 2,353 ", - ,2022/2023
Sigaluh, 23 , - , 149 , - ," 2,269 ", - ,2022/2023
Madukara, 27 , 1 , 193 , 33 ," 2,812 ", 646 ,2022/2023
Banjarmangu, 25 , - , 170 , - ," 2,714 ", - ,2022/2023
Wanadadi, 22 , 2 , 165 , 19 ," 1,892 ", 499 ,2022/2023
Rakit, 31 , - , 227 , - ," 2,691 ", - ,2022/2023
Punggelan, 41 , 1 , 325 , 5 ," 4,927 ", 83 ,2022/2023
Karangkobar, 26 , 1 , 206 , 6 ," 2,931 ", 99 ,2022/2023
Pagentan, 28 , - , 221 , - ," 3,068 ", - ,2022/2023
Pejawaran, 29 , - , 218 , - ," 3,301 ", - ,2022/2023
Batur, 23 , 1 , 175 , 7 ," 3,342 ", 310 ,2022/2023
Wanayasa, 29 , - , 223 , - ," 3,401 ", - ,2022/2023
Kalibening, 30 , 1 , 220 , 1 ," 3,900 ", 52 ,2022/2023
Pandanarum, 20 , - , 147 , - ," 1,676 ", - ,2022/2023
Susukan, 43 , 1 , 260 , 1 ," 4,696 ", 217 ,2023/2024
Purwareja Klampok, 26 , 3 , 177 , 34 ," 2,698 ", 236 ,2023/2024
Mandiraja, 43 , - , 238 , - ," 4,791 ", 187 ,2023/2024
Purwanegara, 44 , 1 , 275 , 8 ," 4,982 ", 472 ,2023/2024
Bawang, 35 , 2 , 233 , 7 ," 3,596 ", 470 ,2023/2024
Banjarnegara, 29 , 7 , 212 , 45 ," 4,333 "," 1,178 ",2023/2024
Pagedongan, 22 , - , 107 , - ," 2,341 ", 84 ,2023/2024
Sigaluh, 23 , - , 125 , - ," 2,116 ", 125 ,2023/2024
