Kecamatan,Sekolah Negeri,Sekolah Swasta,Guru Negeri,Guru Swasta,Murid Negeri,Murid  Swasta,Tahun Ajaran
Mandiraja, 1 , 21 , 8 , 114 , 464 , 434 ,2022/2023
Purwanegara, - , 26 , - , 115 , 445 , 424 ,2022/2023
Bawang, 1 , 13 , 5 , 123 , 239 , 236 ,2022/2023
Banjarnegara, - , 17 , - , 161 , 499 , 465 ,2022/2023
Pagedongan, - , 9 , - , 62 , 147 , 138 ,2022/2023
Sigaluh, - , 14 , - , 83 , 202 , 204 ,2022/2023
Madukara, 1 , 20 , 4 , 132 , 332 , 297 ,2022/2023
Banjarmangu, - , 18 , - , 80 , 202 , 212 ,2022/2023
Wanadadi, 1 , 10 , 8 , 56 , 212 , 193 ,2022/2023
Rakit, - , 33 , - , 129 , 392 , 360 ,2022/2023
Punggelan, - , 27 , - , 141 , 456 , 452 ,2022/2023
Karangkobar, - , 9 , - , 66 , 238 , 218 ,2022/2023
Pagentan, - , 5 , - , 75 , 109 , 113 ,2022/2023
Pejawaran, - , 6 , - , 73 , 157 , 132 ,2022/2023
Batur, - , 5 , - , 57 , 155 , 122 ,2022/2023
Wanayasa, - , 14 , - , 96 , 278 , 286 ,2022/2023
Kalibening, - , 8 , - , 67 , 190 , 125 ,2022/2023
Pandanarum, - , 7 , - , 42 , 111 , 113 ,2022/2023
Susukan, - , 21 , - , 42 , - , 653 ,2023/2024
Purwareja Klampok, - , 17 , - , 50 , - , 541 ,2023/2024
Mandiraja, 1 , 21 , 8 , 47 , 114 , 832 ,2023/2024
Purwanegara, - , 26 , - , 40 , - , 816 ,2023/2024
Bawang, 1 , 13 , 6 , 34 , 74 , 458 ,2023/2024
Banjarnegara, - , 17 , - , 71 , - , 842 ,2023/2024
Pagedongan, - , 9 , - , 18 , - , 316 ,2023/2024
Sigaluh, - , 14 , - , 34 , - , 443 ,2023/2024
Madukara, 1 , 20 , 5 , 54 , 50 , 613 ,2023/2024
Banjarmangu, - , 17 , - , 36 , - , 485 ,2023/2024
Wanadadi, 1 , 10 , 9 , 25 , 45 , 303 ,2023/2024
Rakit, - , 33 , - , 59 , - , 799 ,2023/2024
Punggelan, - , 27 , - , 71 , - , 868 ,2023/2024
Karangkobar, - , 9 , - , 23 , - , 401 ,2023/2024
Pagentan, - , 5 , - , 13 , - , 251 ,2023/2024
Pejawaran, - , 7 , - , 12 , - , 313 ,2023/2024
Batur, - , 5 , - , 7 , - , 310 ,2023/2024
Wanayasa, - , 14 , - , 39 , - , 664 ,2023/2024
Kalibening, - , 8 , - , 21 , - , 357 ,2023/2024
Pandanarum, - , 7 , - , 20 , - , 212 ,2023/2024
Susukan, - , 21 , - , 18 , - , 659 ,2024/2025
Purwareja Klampok, - , 17 , - , 34 , 4 , 550 ,2024/2025
Mandiraja, 1 , 21 , 6 , 28 , 82 , 842 ,2024/2025
Purwanegara, - , 25 , - , 16 , 7 , 937 ,2024/2025
Bawang, 1 , 13 , 5 , 22 , 91 , 447 ,2024/2025
Banjarnegara, - , 17 , - , 59 , 15 , 827 ,2024/2025
Pagedongan, - , 9 , - , 11 , 2 , 377 ,2024/2025
Sigaluh, - , 14 , - , 18 , 5 , 455 ,2024/2025
Madukara, 1 , 20 , 3 , 28 , 51 , 566 ,2024/2025
Banjarmangu, - , 17 , - , 17 , 10 , 545 ,2024/2025
Wanadadi, 1 , 10 , 4 , 13 , 51 , 303 ,2024/2025
Rakit, - , 33 , - , 26 , 6 , 785 ,2024/2025
Punggelan, - , 27 , - , 48 , 8 , 899 ,2024/2025
Karangkobar, - , 9 , - , 14 , - , 387 ,2024/2025
Pagentan, - , 5 , - , 9 , 10 , 309 ,2024/2025
Pejawaran, - , 7 , - , 8 , - , 385 ,2024/2025
Batur, - , 5 , - , 3 , - , 320 ,2024/2025
Wanayasa, - , 14 , - , 27 , - , 733 ,2024/2025
Kalibening, - , 8 , - , 14 , 1 , 361 ,2024/2025
Pandanarum, - , 7 , - , 13 , 2 , 285 ,2024/2025
